Rk,Player,age,proPic,WS,salary,projSalary
96,Wendell Carter Jr.\cartewe01,22,,5,$13750000,$13750000
97,Alex Caruso\carusal01,27,,2,$13666667,$14317459
98,Willie Cauley-Stein\caulewi01,28,,0.2,$13445120,$14520730
99,Ahmad Caver\caverah01,25,,0,$13302325,$13906976
100,Justin Champagnie\champju01,20,,0.8,$13038862,$14004703
101,Zylan Cheatham\cheatzy01,26,,-0.1,$13000000,$13000000
102,Chris Chiozza\chiozch01,26,,0,$12975471,
103,Marquese Chriss\chrisma01,24,,0.8,$12727273,$13745455
104,Josh Christopher\chrisjo01,20,,0.3,$12690000,
105,Gary Clark\clarkga01,27,,0.7,$12632950,
106,Brandon Clarke\clarkbr01,25,,6.3,$12500000,$11500000
107,Jordan Clarkson\clarkjo01,29,,3.5,$12420000,$13340000
108,Nic Claxton\claxtni01,22,,3.5,$12200000,$11400000
109,Amir Coffey\coffeam01,24,,3.8,$12195122,$12804878
110,John Collins\collijo01,24,,5.1,$12000000,$12600000
111,Zach Collins\colliza01,24,,1.2,$12000000,$12960000
112,Darren Collison\collida01,34,,-0.1,$12000000,
113,Mike Conley\conlemi01,34,,6.7,$11615328,$12196094
114,Pat Connaughton\connapa01,29,,4.4,$11312114,
115,Tyler Cook\cookty01,24,,0.5,$11000000,$11550000
116,Sharife Cooper\coopesh01,20,,-0.2,$11000000,$11814815
117,Petr Cornelie\cornepe01,26,,0,$10733400,$13534817
118,DeMarcus Cousins\couside01,31,,1.6,$10690909,$9672727
119,Robert Covington\covinro01,31,,3.2,$10500000,
120,Torrey Craig\craigto01,31,,2.3,$10384500,$11215260
121,Jae Crowder\crowdja01,31,,4.3,$10384500,$11215260
122,Jarrett Culver\culveja01,22,,0.1,$10245480,$10733400
123,Jarron Cumberland\cumbeja01,24,,0,$10174391,$35700000
124,Cade Cunningham\cunnica01,20,,-0.5,$10050120,$10552800
125,Seth Curry\curryse01,31,,4.2,$10468119,
126,Stephen Curry\curryst01,33,,8,$10000000,$10000000
127,Anthony Davis\davisan02,28,,4.5,$9937150,
128,Ed Davis\davised01,32,,0.5,$9742000,
129,Terence Davis\daviste02,24,,0.5,$9720900,$10183800
130,Gabriel Deck\deckga01,26,,0.1,$9720900,$10183800
131,Dewayne Dedmon\dedmode01,32,,3.5,$10720900,
132,Sam Dekker\dekkesa01,27,,0,$9720900,
133,Javin DeLaurier\delauja01,23,,0,$9720900,
134,DeMar DeRozan\derozde01,32,,8.8,$9603360,$12119440
135,Mamadi Diakite\diakima01,25,,0.3,$9536000,$10012800
136,Cheick Diallo\diallch01,25,,0.1,$9536000,$10012800
137,Hamidou Diallo\diallha01,23,,2.1,$9500000,$10260000
138,Gorgui Dieng\dienggo01,32,,1.2,$9180560,$23437500
