Rk,MP,FT,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
330,341,10,9,30,49,11,1,26,17,141
331,7,1,0,0,1,1,0,0,0,1
332,1056,159,13,107,212,17,11,83,37,695
333,1088,69,58,178,54,25,36,40,82,410
334,383,12,15,42,21,13,7,15,37,121
335,1732,75,208,388,165,50,52,67,215,491
336,298,20,19,34,6,8,15,12,34,161
337,612,32,68,58,54,2,18,44,67,254
338,129,2,5,12,5,2,2,5,13,35
339,1665,166,87,449,160,26,18,98,101,1007
340,2133,148,33,249,474,67,17,168,177,844
341,44,0,2,5,11,3,0,3,7,13
342,685,35,17,65,40,18,6,20,76,227
343,1537,195,89,290,88,29,32,73,123,786
344,908,79,20,111,111,31,11,65,67,361
345,407,18,35,47,22,9,9,15,28,154
346,2317,128,104,321,209,55,21,84,178,872
347,1367,65,25,146,91,47,12,71,102,625
348,128,13,8,31,3,0,3,15,24,98
349,1878,138,59,286,81,45,30,54,130,900
350,735,74,38,104,62,33,8,46,69,313
351,1372,71,70,160,64,58,30,52,104,551
352,1866,75,82,203,179,88,32,61,116,544
353,450,9,17,38,21,13,9,14,36,171
354,1656,78,80,217,101,34,40,60,113,696
355,1712,143,32,158,64,57,24,41,168,650
356,16,0,0,2,1,1,0,0,1,6
357,1002,22,30,62,36,23,8,18,87,249
358,2650,213,26,214,321,55,32,88,156,1311
359,220,8,5,20,17,7,0,10,9,80
360,372,8,4,38,41,14,1,5,45,89
361,25,1,0,3,1,1,1,3,5,8
362,2145,116,53,216,315,70,22,127,121,1370
363,652,19,20,70,131,29,10,29,53,229
364,1803,57,76,217,79,52,54,75,224,647
365,895,53,37,133,58,26,22,36,93,340
366,1223,40,18,97,64,13,6,43,79,578
367,1172,102,163,333,42,22,81,98,181,680
368,46,2,6,9,3,0,1,0,7,14
369,754,19,31,80,48,21,7,24,58,273
370,206,2,13,20,5,2,3,7,26,59
371,11,0,0,0,2,0,0,0,1,0
372,902,30,22,72,180,57,10,38,54,233
373,1285,72,12,91,59,38,10,55,103,655
374,1657,90,64,264,194,104,39,112,128,791
375,58,2,1,6,4,0,0,2,3,25
376,1279,71,34,301,60,51,32,61,93,534
377,2141,259,41,315,358,76,18,190,160,1325
378,2,0,0,0,0,0,0,0,1,0
379,2346,48,18,138,183,51,17,73,112,923
380,376,17,41,73,29,10,13,19,67,115
381,1179,61,30,112,139,28,17,44,99,450
382,2076,56,33,133,313,55,24,114,141,861
383,2266,267,55,227,358,99,12,200,164,1733
384,2331,167,143,427,174,56,115,133,147,1034
385,2139,93,37,219,218,61,29,122,138,1048
386,195,12,30,34,22,8,10,12,24,76
387,607,28,17,63,23,7,10,13,43,228
388,137,3,2,12,24,7,3,6,9,58
389,2,0,0,0,0,1,0,1,0,0
390,1889,316,77,248,384,66,22,196,86,1564
391,31,0,2,2,1,0,0,0,3,5
392,16,2,0,2,2,0,0,1,2,2
393,1564,129,26,213,113,28,18,69,115,830
394,298,8,17,28,23,6,1,20,33,129
395,2239,73,27,199,333,56,14,78,92,945
396,11,3,0,0,4,1,0,1,1,3
397,239,4,2,22,5,4,2,8,13,69
398,1,0,0,0,0,0,0,0,0,0
399,864,45,47,100,38,23,7,16,60,334
400,2366,196,80,483,627,138,23,180,138,1438
401,592,48,21,108,22,18,26,14,58,344
402,716,32,20,72,45,26,4,32,54,255
403,145,6,4,23,7,8,4,11,20,34
404,1040,40,72,176,81,43,20,37,84,321
405,63,3,3,4,12,1,0,3,2,15
406,574,21,15,74,22,20,5,31,70,196
407,1372,83,13,121,217,55,3,79,104,526
408,8,2,0,1,1,0,0,1,0,8
409,1736,52,25,178,102,30,13,59,190,700
410,261,16,7,26,40,15,0,26,21,77
411,698,41,56,91,17,16,13,23,79,270
412,562,21,48,93,23,30,31,20,67,85
413,975,72,22,101,130,27,10,36,73,527
414,685,24,12,67,69,27,7,31,61,240
415,1579,185,167,452,157,62,34,143,189,842
416,609,48,41,110,35,28,20,21,55,233
417,1185,36,37,184,59,25,17,57,78,487
418,2406,45,64,304,191,86,32,79,183,570
419,406,23,27,47,9,7,6,9,30,98
420,1749,55,47,300,118,97,42,57,95,605
421,516,35,29,41,25,26,12,23,53,133
422,992,80,115,168,53,31,60,44,149,392
423,1981,119,72,129,121,56,22,58,164,588
424,244,8,11,30,14,4,7,5,25,77
425,173,14,3,20,28,5,1,16,13,99
426,43,2,2,4,3,1,1,0,5,23
427,764,69,54,123,111,31,19,58,100,365
428,18,2,2,5,2,0,0,0,2,7
429,44,0,1,6,5,0,0,1,7,5
430,1462,87,25,121,135,52,10,67,127,709
431,27,3,1,4,0,0,2,0,1,9
432,1999,126,79,223,84,77,31,67,189,1137
433,7,0,0,1,1,0,0,1,2,0
434,17,0,0,2,0,0,0,1,2,0
435,166,3,2,9,30,3,0,7,11,39
436,112,9,5,23,6,4,1,8,13,53
437,736,66,30,76,36,9,5,27,51,334
438,2139,169,22,261,702,121,20,153,134,958
439,1278,75,24,151,282,40,17,103,119,626
440,549,12,21,67,99,25,6,47,38,150
441,1247,35,72,175,64,96,22,40,131,502
442,19,0,3,3,0,0,1,2,1,6
443,187,9,15,32,12,9,6,11,33,92
444,176,1,6,26,7,0,7,5,12,50
445,148,10,2,19,17,5,2,5,12,48
446,1793,67,176,389,226,61,52,100,224,477
447,1970,94,262,372,189,45,118,109,212,915
448,1233,35,73,245,131,39,38,94,88,464
449,71,0,5,7,1,1,4,1,6,13
450,2283,246,34,226,304,60,23,187,206,1405
451,1907,124,43,224,376,69,22,192,156,949
452,265,5,9,50,17,10,2,12,16,89
453,1396,49,86,276,94,68,29,37,83,515
454,2028,85,180,477,86,53,51,90,174,1052
455,1481,248,102,309,119,37,84,81,137,1030
456,31,2,4,5,0,1,1,1,4,12
457,1798,166,173,231,97,37,39,64,220,717
458,52,2,1,5,3,1,0,3,8,13
459,1458,189,20,125,96,42,21,69,106,853
460,965,44,32,81,81,20,23,57,79,288
461,1177,62,26,148,68,47,23,53,116,502
462,1001,21,32,102,139,25,6,41,61,442
463,74,4,7,9,4,5,1,7,6,43
464,120,11,14,17,6,1,8,6,18,45
465,1802,177,31,216,275,54,3,99,167,882
466,134,7,4,9,7,1,1,5,10,60
467,2544,303,125,591,370,53,39,245,205,1447
468,1418,99,45,148,110,29,20,40,87,444
469,1012,101,25,80,48,47,15,57,60,497
470,668,10,14,94,53,24,9,16,63,209
471,302,6,44,48,16,33,14,10,57,116
472,1215,114,102,199,71,40,71,82,172,637
473,367,30,34,52,13,9,21,24,51,150
474,1600,96,42,143,115,56,29,66,116,666
475,1480,32,19,95,90,51,6,54,121,403
476,2043,51,24,179,129,42,14,60,201,863
477,304,4,4,17,32,9,1,17,27,78
478,1848,88,295,322,38,58,133,60,195,610
479,1087,40,75,199,49,29,15,39,75,366
480,948,78,75,142,71,36,34,43,109,454
481,697,19,15,93,170,30,6,68,56,186
482,636,30,21,57,103,22,12,39,15,311
483,1448,112,20,141,116,28,12,75,68,629
484,2458,150,56,259,326,93,25,96,119,1408
485,970,88,15,126,225,49,7,90,75,445
486,2077,198,25,191,460,62,22,165,130,1176
487,5,0,0,0,0,1,0,0,0,3
488,2136,246,201,551,323,59,27,195,203,1171
489,421,24,34,59,19,6,15,22,52,153
490,906,43,27,99,184,29,5,46,71,198
491,30,2,2,6,0,1,0,1,0,5
492,469,12,17,72,25,4,5,21,58,146
493,1837,157,34,180,296,53,8,143,154,867
494,11,0,1,1,0,1,1,0,2,6
495,121,7,2,14,8,4,3,7,9,49
496,19,2,0,1,1,0,0,0,1,5
497,1489,165,138,255,185,59,68,145,214,692
498,316,29,13,23,23,10,0,31,25,176
499,1437,68,16,110,108,28,9,41,92,573
500,391,24,81,79,17,10,15,30,60,198
501,2578,284,128,452,360,85,42,181,225,1551
502,91,10,13,23,7,0,1,8,20,26
503,35,8,5,5,0,1,1,2,6,17
504,1681,103,26,125,221,30,6,115,110,988
505,174,5,2,19,30,5,4,10,15,44
506,555,12,61,108,21,11,22,20,66,90
507,27,0,0,6,1,3,1,0,4,3
508,200,5,5,19,16,6,3,11,12,51
509,2296,142,42,228,417,119,18,159,160,861
510,638,42,20,68,132,45,12,51,52,206
511,1126,15,25,115,244,47,23,78,78,410
512,925,78,101,206,24,15,41,42,96,470
513,39,0,2,4,1,0,0,0,2,5
514,823,4,16,87,28,16,9,19,70,187
515,6,0,1,1,0,0,2,1,0,2
516,155,10,5,14,4,5,2,6,17,52
517,39,4,1,2,2,0,0,1,1,18
518,814,63,12,115,165,24,4,72,96,384
519,1015,53,47,117,44,31,18,41,106,383
520,1816,74,226,391,82,22,78,85,211,589
521,1587,42,24,178,92,28,16,57,116,721
522,1307,126,26,145,209,59,19,143,142,564
523,19,0,0,0,1,4,0,1,7,6
524,566,15,8,37,62,12,4,33,51,180
525,2056,130,135,285,222,72,41,139,286,919
526,2731,400,85,524,334,75,49,217,174,2046
527,714,36,95,77,41,14,8,23,61,318
528,1098,28,29,114,74,43,23,42,81,309
529,18,0,8,7,2,1,0,5,4,0
530,3,0,0,0,0,0,0,0,1,2
531,8,0,0,2,1,1,0,0,1,0
532,977,49,59,169,41,20,31,46,111,384
533,60,3,2,8,11,1,1,6,7,21
534,1176,87,16,145,78,33,8,55,66,570
535,333,22,4,25,34,7,5,15,34,184
536,459,16,3,47,20,8,3,8,18,161
537,941,46,15,110,88,16,17,43,54,652
538,897,61,120,168,34,23,21,45,98,344
539,262,12,11,32,19,8,11,10,26,67
540,1685,34,42,109,75,115,71,39,158,379
541,461,5,21,39,22,23,15,13,58,118
542,701,46,66,95,62,49,15,34,63,252
543,74,2,3,9,4,4,2,4,4,20
544,1230,94,69,199,77,25,33,56,102,648
545,994,40,28,148,127,48,17,68,115,298
546,2476,384,194,533,269,72,83,226,267,1818
547,2448,174,26,165,141,122,19,73,144,1283
548,1981,45,100,287,149,58,15,66,161,539
549,71,5,3,5,10,4,0,1,5,21
550,1235,79,65,232,44,28,118,54,119,540
551,2240,237,226,617,190,41,60,179,247,1314
552,222,0,9,33,11,8,0,12,20,69
553,1880,86,215,409,94,99,46,73,181,512
554,2462,194,44,245,434,111,35,170,162,1320
555,1937,83,44,262,136,76,41,58,143,872
556,1589,44,22,104,210,62,12,98,158,591
557,2418,92,142,662,236,70,71,136,181,1288
558,980,20,31,119,52,29,7,16,88,269
559,2429,189,84,272,231,68,34,119,164,1197
560,960,104,42,190,87,20,13,56,123,564
561,359,7,27,27,15,20,6,13,49,108
562,948,60,14,97,131,26,7,48,37,431
563,1612,116,18,163,152,44,19,71,98,849
564,8,0,0,1,1,2,0,0,1,0
565,75,1,0,8,1,3,1,2,7,17
566,108,4,2,8,21,7,4,11,8,19
567,320,23,6,33,55,7,6,23,45,83
568,968,46,4,79,85,26,3,57,66,473
569,1768,58,82,255,147,57,61,82,152,668
570,445,24,18,74,21,11,16,19,38,163
571,465,4,6,67,24,19,8,11,31,199
572,50,0,0,4,7,5,0,4,4,10
573,869,71,57,142,81,25,28,44,116,364
574,156,1,3,24,8,3,3,4,10,31
575,73,5,2,12,5,1,1,3,15,30
576,2678,266,110,470,550,75,20,295,235,1441
577,1675,78,17,165,176,29,11,70,137,772
578,2199,203,38,223,366,64,58,119,172,992
579,1162,104,166,328,26,22,103,53,179,534
580,205,7,4,10,9,4,3,2,14,61
581,1209,62,51,127,68,30,10,54,93,416
582,2329,149,85,240,161,76,51,111,158,1256
583,199,19,3,22,23,5,1,12,17,80
584,640,68,19,55,94,24,10,58,52,309
585,1875,86,64,210,78,38,57,62,186,602
586,1072,30,75,145,108,44,10,46,81,363
587,799,67,16,71,105,28,3,43,48,354
588,422,30,17,52,15,9,9,16,28,153
589,1804,65,238,350,121,56,134,63,137,607
590,1346,43,26,103,65,35,12,41,113,501
591,54,8,1,15,5,5,1,2,6,30
592,459,15,21,68,34,14,3,16,47,110
