Rk,Player,age,proPic,WS,salary,projSalary,playerTeam
1,Precious AChicago Bullsuwa\aChicago Bullsupr01,22,,2.5,$45780966,$48070014,Toronto Raptorss
2,Steven Adams\adamsst01,28,,6.8,$44310840,$47366760,MemPhiladelphia 76erss Grizzlies
3,Bam Adebayo\adebaba01,24,,7.2,$44211146,$47063478,Miami Heat
4,Santi Aldama\aldamsa01,21,,0.3,$43848000,$46872000,MemPhiladelphia 76erss Grizzlies
5,LaMarcus Aldridge\aldrila01,36,,3.1,$41180544,$44474988,BRK
6,Nickeil Alexander-Walker\alexani01,23,,0.1,$40918900,$44119845,TOT
7,Grayson Allen\allengr01,26,,4.2,$39344970,$42492568,Milwaukee Bucks
8,Jarrett Allen\allenja01,23,,8.5,$39344970,$42492568,Cleveland Cavaliers
9,Jose Alvarado\alvarjo01,23,,2.1,$39344900,$42492492,NOP
10,Justin Anderson\anderju01,28,,0.4,$39344900,$42492492,TOT
11,Kyle Anderson\anderky01,28,,3.5,$37980720,$40600080,MemPhiladelphia 76erss Grizzlies
12,Giannis Antetokounmpo\antetgi01,27,,12.9,$36016200,$37653300,Milwaukee Bucks
13,Thanasis Antetokounmpo\antetth01,29,,0.9,$36000000,$38482759,Milwaukee Bucks
14,Carmelo Anthony\anthoca01,37,,3.6,$35500000,$37948276,Los Angeles Lakers
15,Cole Anthony\anthoco01,21,,1.6,$35361360,$37980720,Orlando Magic
16,OG Anunoby\anunoog01,24,,3.7,$35344828,$38172414,Toronto Raptorss
17,Ryan Arcidiacono\arcidry01,27,,0.1,$34916200,$36503300,New York Knicks
18,Trevor Ariza\arizatr01,36,,0.2,$34502130,$37262300,Los Angeles Lakers
19,D.J. Augustin\augusdj01,34,,0.8,$31650600,$33833400,TOT
20,Denver Nuggetsi Avdija\avdijde01,21,,2.4,$31610000,$33790000,Washington Wizards
21,Joel Ayayi\ayayijo01,21,,0,$31610000,$33790000,Washington Wizards
22,Deandre Ayton\aytonde01,23,,7.3,$31590000,$33930000,Phoenix Suns
23,Udoka Azubuike\azubuud01,22,,0.6,$31590000,$33930000,Utah Jazz
24,Marvin Bagley III\baglema01,22,,2,$31579390,$33616770,TOT
25,LaMelo Ball\ballla01,20,,5.8,$31579390,$33616770,CHO
26,Lonzo Ball\balllo01,24,,2.2,$31320000,$33640000,Chicago Bulls
27,Mo Bamba\bambamo01,23,,4.5,$31300000,$28900000,Orlando Magic
28,Desmond Bane\banede01,23,,7.2,$30864198,$33333333,MemPhiladelphia 76erss Grizzlies
29,Dallas Mavericksano Banton\bantoda01,22,,0.4,$30800000,$28400000,Toronto Raptorss
30,Cat Barber\barbeca01,27,,-0.1,$30510423,$32478837,Atlanta Hawks
31,Harrison Barnes\barneha02,29,,6,$30133333,$32393333,Sacramento Kings
32,Scottie Barnes\barnesc01,20,,6.6,$30013500,$31377750,Toronto Raptorss
33,RJ Barrett\barrerj01,21,,2.3,$29900000,$30100000,New York Knicks
34,Will Barton\bartowi01,31,,3.2,$32405817,,Denver Nuggets
35,Paris Bass\basspa01,26,,0,$29467800,$31650600,Phoenix Suns
36,Charlotte Hornetsrles Bassey\bassech01,21,,0.8,$28103550,$30351834,Philadelphia 76ers
37,Keita Bates-Diop\bateske01,26,,1.6,$28103550,$30351834,San Antonio Spurs
38,Nicolas Batum\batumni01,33,,3.7,$28103550,$30351834,Los Angeles Clippers
39,Kent Bazemore\bazemke01,32,,0.1,$28103550,$30351834,Los Angeles Lakers
40,Darius Bazley\bazleda01,21,,1.8,$27000000,$26500000,Oklahoma City Thunder
41,Bradley Beal\bealbr01,28,,1.4,$26984128,$28333334,Washington Wizards
